FREQUENCY,INTIMACY,RECENCY,TRUST
-0.589925229,-0.950217867,-0.384418568,3
-0.593898699,-0.95499994,-0.389134473,3
-0.585951759,-0.951115253,-0.390234852,3
-0.589925229,-0.949594607,-0.401710222,3
-0.581978287,-0.949751608,-0.404696961,3
-0.585951759,-0.953335507,-0.410198852,3
-0.597872171,-0.956323238,-0.418844681,3
-0.597872171,-0.951671422,-0.435821941,3
-0.597872171,-0.956098949,-0.435979136,3
-0.562110936,-0.94315755,-0.584372971,3
-0.601845641,-0.956221822,-0.596477126,3
-0.585951759,-0.942366083,-0.605280152,3
-0.542243582,-0.935442054,-0.605280152,3
-0.585951759,-0.942093172,-0.628073697,3
-0.597872171,-0.956166235,-0.629802862,3
-0.578004818,-0.950941925,-0.630274453,3
-0.601845641,-0.955095291,-0.637348311,3
-0.601845641,-0.954832948,-0.638291492,3
-0.601845641,-0.956021206,-0.640806641,3
-0.601845641,-0.955527384,-0.659984657,3
-0.601845641,-0.954030488,-0.815452347,1
-0.601845641,-0.955450225,-0.827084915,1
-0.574031348,-0.939284718,-0.848778083,1
-0.589925229,-0.95418434,-0.849092476,1
-0.593898699,-0.953923358,-0.856009139,1
-0.593898699,-0.954865367,-0.86386898,1
-0.589925229,-0.953542069,-0.882418208,1
-0.593898699,-0.950947017,-1.003616987,1
-0.597872171,-0.955672804,-1.03238401,1
-0.601845641,-0.955079858,-1.056435129,1
-0.597872171,-0.956376335,-1.059421871,1
-0.597872171,-0.956435381,-1.059579066,1
-0.589925229,-0.953250496,-1.070740043,1
-0.585951759,-0.953228067,-1.087088518,1
-0.566084406,-0.931277996,-1.277139515,1
-0.593898699,-0.954330418,-1.279497469,1
-0.593898699,-0.956143808,-1.286885723,1
-0.585951759,-0.949931037,-1.322883802,1
-0.593898699,-0.944168473,-1.323041,1
-0.589925229,-0.955044797,-1.334516369,1
-0.574031348,-0.951490594,-1.335459551,1
-0.597872171,-0.955112083,-1.342533409,1
-0.597872171,-0.955201411,-1.499415871,1
-0.601845641,-0.956592189,-1.507590109,1
-0.601845641,-0.956252685,-1.521580627,1
-0.597872171,-0.95645781,-1.545946141,1
-0.601845641,-0.955928615,-1.694654366,1
-0.597872171,-0.956098949,-1.721377831,1
-0.597872171,-0.956278381,-1.721535029,1
-0.593898699,-0.955784947,-1.737097518,1
-0.597872171,-0.952120194,-1.742127818,1
-0.589925229,-0.949056316,-1.761305834,1
-0.597872171,-0.948807886,-1.769322874,1
-0.601845641,-0.954616902,-1.778440293,1
-0.581978287,-0.953407497,-1.779855062,1
-0.589925229,-0.954057931,-1.980281055,1
-0.597872171,-0.955874663,-1.980909844,1
-0.593898699,-0.955448515,-1.988455293,1
-0.597872171,-0.95571766,-2.008419293,1
-0.589925229,-0.954663508,-2.008576491,1
-0.601845641,-0.948907085,-2.131504431,1
-0.581978287,-0.952757062,-2.16357259,1
-0.597872171,-0.955941949,-2.176305537,1
-0.593898699,-0.953654215,-2.183064999,1
-0.597872171,-0.955313942,-2.183850986,1
-0.597872171,-0.956211095,-2.190296055,1
-0.593898699,-0.954696859,-2.194697567,1
-0.593898699,-0.955448515,-2.216233537,1
-0.597872171,-0.955650374,-2.218905883,1
-0.593898699,-0.955627945,-2.2231502,1
-0.597872171,-0.956031663,-2.228023303,1
-0.585951759,-0.950523282,-2.241227837,1
-0.597872171,-0.955216259,-2.389936065,1
-0.597872171,-0.95499994,-2.395595151,1
-0.597872171,-0.954910224,-2.401254236,1
-0.593898699,-0.955269085,-2.402826207,1
-0.597872171,-0.956592383,-2.418703088,1
-0.597872171,-0.956054092,-2.44008186,1
-0.597872171,-0.955672804,-2.442754207,1
-0.601845641,-0.955681705,-2.446055342,1
-0.601845641,-0.956468732,-2.446684127,1
-0.593898699,-0.955234956,-2.448884883,1
-0.601845641,-0.955619977,-2.462561012,1
-0.601845641,-0.955434792,-2.474979563,1
-0.597872171,-0.955112083,-2.47765191,1
1.766342836,0.418945448,0.70134012,0
-0.575369,-0.948987776,0.70134012,3
-0.51064832,-0.743726341,0.601971779,3
-0.595961943,-0.955122241,0.600063907,3
-0.369439567,-0.90230507,0.583529012,3
-0.598903792,-0.956388447,0.583211034,3
-0.466520585,-0.929298526,0.582734067,3
-0.587136396,-0.954087359,0.580349225,3
-0.581252698,-0.952418541,0.579872259,3
-0.557717906,-0.947738283,0.576692472,3
-0.36061402,-0.408879886,0.573194704,3
-0.593020094,-0.954645922,0.57208178,3
-0.401799905,-0.914468625,0.562701407,3
-0.598903792,-0.956118054,0.561588483,3
-0.590078245,-0.948084744,0.550777208,3
-0.590078245,-0.954675965,0.543622687,3
-0.595961943,-0.954366878,0.536786143,3
-0.601845641,-0.956655186,0.534560293,3
-0.581252698,-0.954141881,0.530108591,3
-0.598903792,-0.955290884,0.529313646,3
-0.601845641,-0.945227266,0.528041731,3
-0.601845641,-0.955272181,0.527723753,3
-0.431218398,-0.878185975,0.526928804,3
-0.598903792,-0.955472118,0.516912474,3
-0.595961943,-0.956613772,0.516753487,3
-0.601845641,-0.956734162,0.515322581,3
-0.572427151,-0.952813268,0.506737157,3
-0.598903792,-0.956231473,0.499105668,3
-0.595961943,-0.95514164,0.489884287,3
-0.598903792,-0.956082065,0.489248329,3
-0.537124961,-0.951566461,0.488930351,3
-0.51064832,-0.928736948,0.488453381,3
-0.595961943,-0.952723138,0.482411786,3
-0.569485302,-0.946348445,0.48145785,3
-0.595961943,-0.956179439,0.480344926,3
-0.595961943,-0.956023547,0.463333066,3
-0.595961943,-0.956298317,0.365554614,3
-0.601845641,-0.956528341,0.316744886,3
-0.578310849,-0.948874629,0.311816215,3
-0.598903792,-0.955862685,0.300368982,3
-0.601845641,-0.95650208,0.297348186,3
-0.354730322,-0.889214117,0.293532439,3
-0.601845641,-0.956703401,0.285741963,3
-0.598903792,-0.95514164,0.276520581,3
-0.601845641,-0.956256975,0.275725633,3
-0.595961943,-0.951653162,0.274612709,3
-0.598903792,-0.956148097,0.273817761,3
-0.593020094,-0.954916313,0.264596379,3
-0.601845641,-0.956598372,0.133430167,3
-0.595961943,-0.954682176,0.124367773,3
-0.584194547,-0.954128642,0.121028998,3
-0.507706471,-0.934974594,0.106878946,3
-0.601845641,-0.956777795,0.090026072,3
-0.601845641,-0.955924334,0.086210328,3
-0.590078245,-0.952203908,0.08382549,3
-0.601845641,-0.956681584,0.082076606,3
-0.601845641,-0.956734162,0.074922087,3
-0.595961943,-0.954961379,0.071424321,3
-0.598903792,-0.956534395,0.06172597,3
-0.584194547,-0.954419456,0.061407991,3
-0.598903792,-0.954781871,0.060931022,3
-0.593020094,-0.948119703,0.040580387,3
-0.595961943,-0.955577271,0.026907303,3
-0.593020094,-0.902189938,-0.055449181,3
-0.490055377,-0.921357805,-0.110141516,3
-0.584194547,-0.953478924,-0.114752209,3
-0.601845641,-0.956493326,-0.117455026,3
-0.598903792,-0.95530688,-0.131923057,3
-0.598903792,-0.955623038,-0.161495074,3
-0.601845641,-0.956637733,-0.168808587,3
-0.601845641,-0.956523965,-0.169126566,3
-0.601845641,-0.95641892,-0.177552999,3
-0.598903792,-0.956027923,-0.179460871,3
-0.590078245,-0.954424321,-0.338291232,3
-0.598903792,-0.956598751,-0.343696869,3
-0.601845641,-0.956217583,-0.352123306,3
-0.601845641,-0.956607125,-0.356733995,3
-0.601845641,-0.956453934,-0.368976176,3
-0.598903792,-0.956223207,-0.378992506,3
-0.595961943,-0.954591344,-0.38010543,3
-0.572427151,-0.949615193,-0.391870641,3
-0.601845641,-0.956493326,-0.411585322,3
-0.598903792,-0.954421406,-0.421283673,3
-0.601845641,-0.953499549,-0.422555588,3
-0.601845641,-0.95629199,-0.434638778,3
-0.595961943,-0.954293773,-0.538140842,3
-0.598903792,-0.956448534,-0.546567279,3
-0.598903792,-0.956253251,-0.563897118,3
-0.601845641,-0.956335758,-0.576457277,3
-0.598903792,-0.955487141,-0.587586531,3
-0.598903792,-0.955366967,-0.593469135,3
-0.598903792,-0.95113083,-0.821618851,1
-0.601845641,-0.956685948,-0.867248796,1
-0.595961943,-0.952091464,-1.069801226,1
-0.601845641,-0.956607125,-1.07091415,1
-0.598903792,-0.956118054,-1.089833883,1
-0.595961943,-0.955186706,-1.133396965,1
-0.601845641,-0.956637733,-1.252638976,1
-0.601845641,-0.95664646,-1.271717699,1
-0.590078245,-0.952109458,-1.278395252,1
-0.601845641,-0.956821602,-1.290001475,1
-0.601845641,-0.956834714,-1.291591368,1
-0.598903792,-0.956313337,-1.31289594,1
-0.595961943,-0.955862685,-1.338016258,1
-0.598903792,-0.956508621,-1.469977416,1
-0.601845641,-0.956707764,-1.480629703,1
-0.601845641,-0.955928711,-1.496687628,1
-0.595961943,-0.95570074,-1.500980339,1
-0.595961943,-0.956027923,-1.512109596,1
-0.595961943,-0.955682425,-1.537865869,1
-0.601845641,-0.956493326,-1.558693474,1
-0.595961943,-0.956103033,-1.689223729,1
-0.590078245,-0.95086632,-1.726109259,1
-0.595961943,-0.955832642,-1.728017131,1
-0.601845641,-0.956484573,-1.729289045,1
-0.598903792,-0.956103033,-1.757271169,1
-0.598903792,-0.956283294,-1.766492554,1
-0.595961943,-0.953789682,-1.77221617,1
-0.598903792,-0.956358404,-1.779847658,1
-0.601845641,-0.956712127,-1.80592191,1
-0.587136396,-0.940454565,-1.920235252,1
-0.590078245,-0.953038593,-1.928661689,1
-0.601845641,-0.956611501,-1.944083656,1
-0.601845641,-0.956834714,-1.962685408,1
-0.601845641,-0.956239469,-1.96999892,1
-0.601845641,-0.956471441,-2.01578785,1
-0.598903792,-0.954600858,-2.020557533,1
-0.598903792,-0.954991423,-2.020875512,1
-0.598903792,-0.955732568,-2.195286825,1
-0.595961943,-0.955457098,-2.207370018,1
-0.598903792,-0.955802599,-2.212139698,1
-0.598903792,-0.95623823,-2.212457676,1
-0.595961943,-0.955952816,-2.214206558,1
-0.595961943,-0.955619257,-2.222791982,1
-0.595961943,-0.956027923,-2.414533137,1
-0.598903792,-0.95599788,-2.428524202,1
-0.601845641,-0.956445181,-2.439812444,1
-0.598903792,-0.956824068,-2.444582124,1
-0.601845641,-0.955613576,-2.465727708,1
-0.601845641,-0.956440805,-2.46986143,1
-0.601845641,-0.956523965,-2.47765191,1
-0.555749515,-0.948495053,0.70134012,3
-0.475081293,-0.911057277,0.69270807,3
-0.555749515,-0.949764682,0.686154107,3
-0.480843309,-0.90631854,0.685994255,3
-0.601845641,-0.956558869,0.68567455,3
-0.5499875,-0.941832086,0.685194989,3
-0.578797578,-0.869968291,0.593439501,3
-0.601845641,-0.955640332,0.58656583,3
-0.325268885,-0.832853044,0.585287011,3
-0.515415405,-0.887399988,0.577933783,3
-0.596083625,-0.952316786,0.550439107,3
-0.567273547,-0.944658248,0.548840579,3
-0.590321609,-0.954435777,0.545483668,3
-0.526939437,-0.936667365,0.545163964,3
-0.590321609,-0.950564574,0.539089558,3
-0.596083625,-0.955307951,0.537491031,3
-0.37136501,-0.807652793,0.536212208,3
-0.584559594,-0.951125574,0.534613681,3
-0.532701452,-0.912130538,0.534293976,3
-0.561511531,-0.934855947,0.533494714,3
-0.601845641,-0.95668333,0.529018836,3
-0.532701452,-0.935586322,0.521026195,3
-0.596083625,-0.953614945,0.518628405,3
-0.601845641,-0.956076247,0.517029878,3
-0.578797578,-0.94397067,0.502643127,3
-0.573035562,-0.950973686,0.495609607,3
-0.601845641,-0.953382916,0.490494316,3
-0.584559594,-0.944001498,0.484899472,3
-0.596083625,-0.951692748,0.480103886,3
-0.590321609,-0.953825081,0.479304624,3
-0.503891374,-0.923146099,0.478025801,3
-0.601845641,-0.951296751,0.475628008,3
-0.601845641,-0.954861914,0.474349189,3
-0.601845641,-0.95665235,0.471631691,3
-0.596083625,-0.95424999,0.464917873,3
-0.596083625,-0.955562951,0.351742113,3
-0.578797578,-0.951020585,0.346786678,3
-0.584559594,-0.949189495,0.309221276,3
-0.601845641,-0.956582221,0.254711482,3
-0.601845641,-0.95591278,0.251834131,3
-0.596083625,-0.948594023,0.250715161,3
-0.578797578,-0.949095355,0.249756047,3
-0.584559594,-0.949544539,0.247038549,3
-0.601845641,-0.956099601,0.247038549,3
-0.596083625,-0.952193198,0.09757621,3
-0.5499875,-0.94781334,0.096297388,3
-0.601845641,-0.955476865,0.075356674,3
-0.555749515,-0.866306191,0.069442121,3
-0.498129358,-0.935287493,0.067204184,3
-0.578797578,-0.931255815,0.066245066,3
-0.573035562,-0.949681588,0.061609336,3
-0.590321609,-0.953230414,0.030438045,3
-0.596083625,-0.95574701,0.029638782,3
-0.573035562,-0.953918683,0.019248352,3
-0.596083625,-0.95611513,0.017170267,3
-0.601845641,-0.950876404,0.002783516,3
-0.596083625,-0.954496553,-0.140604417,3
-0.578797578,-0.952045758,-0.15227367,3
-0.590321609,-0.952518333,-0.16394292,3
-0.601845641,-0.956722381,-0.165541448,3
-0.596083625,-0.955898094,-0.191117892,3
-0.590321609,-0.954017577,-0.193675537,3
-0.596083625,-0.955992424,-0.213976838,3
-0.596083625,-0.952597019,-0.333067153,3
-0.601845641,-0.956582221,-0.344896255,3
-0.590321609,-0.949962315,-0.366955939,3
-0.590321609,-0.955059854,-0.378944897,3
-0.584559594,-0.954363263,-0.418268679,3
-0.596083625,-0.956063825,-0.430257637,3
-0.578797578,-0.940153651,-0.43153646,3
-0.578797578,-0.954802169,-0.434893367,3
-0.590321609,-0.953487753,-0.435213072,3
-0.596083625,-0.950803546,-0.604337301,3
-0.601845641,-0.955585843,-0.604816862,3
-0.596083625,-0.955598076,-0.613129204,3
-0.596083625,-0.954484513,-0.621601403,3
-0.596083625,-0.954421319,-0.625757572,3
-0.601845641,-0.953414052,-0.62847507,3
-0.555749515,-0.954802169,-0.651334016,3
-0.596083625,-0.947807895,-0.803513852,1
-0.561511531,-0.954532101,-0.804153265,1
-0.590321609,-0.956197344,-0.80846929,1
-0.601845641,-0.956535516,-0.820298393,1
-0.596083625,-0.954725209,-0.833566174,1
-0.590321609,-0.956225565,-0.875447601,1
-0.601845641,-0.955725959,-0.875767305,1
-0.596083625,-0.956213296,-0.885198618,1
-0.590321609,-0.953292879,-0.909975797,1
-0.601845641,-0.95648881,-1.055122113,1
-0.601845641,-0.954939755,-1.129933208,1
-0.601845641,-0.951211123,-1.150074657,1
-0.601845641,-0.956231931,-1.274440112,1
-0.601845641,-0.956784558,-1.279715255,1
-0.596083625,-0.954474274,-1.339979747,1
-0.578797578,-0.935120036,-1.728421978,1
-0.590321609,-0.955219372,-1.751760482,1
-0.601845641,-0.956784558,-1.77062311,1
-0.590321609,-0.954912606,-1.801314841,1
-0.584559594,-0.955600454,-1.849270671,1
-0.601845641,-0.956200795,-2.008324177,1
-0.590321609,-0.955599762,-2.187199428,1
-0.601845641,-0.956216363,-2.242988045,1
-0.596083625,-0.955858636,-2.276716979,1
-0.601845641,-0.956730017,-2.455592226,1
-0.601845641,-0.950066847,-2.47765191,1
-0.601845641,1.224808284,0.70134012,2
1.766342836,0.815970631,0.70134012,0
-0.54677149,-0.949093452,0.70134012,3
-0.381549038,-0.878842085,0.699432534,3
-0.601845641,-0.952090004,0.699114603,3
-0.51005539,-0.943589444,0.698637707,3
-0.583487591,-0.945007927,0.697683914,3
-0.436623189,-0.799983587,0.697365983,3
-0.601845641,-0.920068883,0.679402882,3
-0.56512954,-0.921261038,0.588474618,3
-0.491697339,-0.905336701,0.579731515,3
-0.583487591,-0.953225418,0.559224966,3
-0.601845641,-0.955475498,0.557476346,3
-0.56512954,-0.932686022,0.55731738,3
-0.583487591,-0.877649791,0.53744669,3
-0.56512954,-0.932104192,0.535857035,3
-0.54677149,-0.949992125,0.527431864,3
-0.56512954,-0.948470575,0.51980152,3
-0.583487591,-0.95348585,0.512330142,3
-0.52841344,-0.941623601,0.509468763,3
-0.271400736,-0.869350811,0.50533566,3
-0.56512954,-0.912238667,0.504540832,3
-0.56512954,-0.950087221,0.502792212,3
-0.583487591,-0.955127355,0.502474281,3
-0.583487591,-0.951608772,0.501520488,3
-0.583487591,-0.940672632,0.47958325,3
-0.491697339,-0.945047088,0.471634975,3
-0.583487591,-0.949801932,0.317597409,3
-0.601845641,-0.956651041,0.309649134,3
-0.583487591,-0.953853574,0.309172237,3
-0.56512954,-0.953225418,0.308695341,3
-0.583487591,-0.938327343,0.274517759,3
-0.56512954,-0.929926685,0.248765349,3
-0.583487591,-0.954461677,0.236207074,3
-0.583487591,-0.934301141,0.233504661,3
-0.56512954,-0.944067511,-0.182667015,3
-0.583487591,-0.956363616,-0.182825981,3
-0.583487591,-0.949042683,-0.639692821,3
-0.56512954,-0.945332377,-0.645892475,3
-0.56512954,-0.94495199,-0.657814887,3
-0.583487591,-0.953225418,-0.662106956,3
-0.601845641,-0.954347001,-0.663060748,3
-0.583487591,-0.955032259,-0.672280747,3
-0.583487591,-0.952940127,-0.844599349,1
-0.601845641,-0.956462933,-0.858588312,1
-0.51005539,-0.941338309,-0.879571758,1
-0.601845641,-0.956462933,-1.06031553,1
-0.54677149,-0.902837102,-1.106097593,1
-0.601845641,-0.951384693,-1.362032043,1
-0.601845641,-0.955992727,-1.813494059,1
-0.583487591,-0.952464643,-1.818421989,1
-0.583487591,-0.954418878,-1.956721971,1
-0.583487591,-0.951506758,-1.977069555,1
-0.601845641,-0.955334437,-1.990581622,1
-0.56512954,-0.951418578,-2.022692656,1
-0.56512954,-0.951703868,-2.030322999,1
-0.56512954,-0.943050054,-2.034932999,1
-0.601845641,-0.948516429,-2.198508495,1
-0.601845641,-0.953030418,-2.203913322,1
-0.601845641,-0.955240395,-2.244767454,1
-0.54677149,-0.845765955,-2.257484694,1
-0.601845641,-0.953970835,-2.263048486,1
-0.583487591,-0.955032259,-2.430121226,1
-0.56512954,-0.870681335,-2.460801567,1
-0.601845641,-0.953923814,-2.470021566,1
-0.601845641,-0.95439402,-2.477333979,1
-0.583487591,-0.953986194,-2.47765191,1
1.766342836,0.867578251,0.70134012,0
-0.573819741,-0.924252594,0.70134012,3
-0.601845641,-0.956721508,0.696422274,3
-0.51076147,-0.899685497,0.695629071,3
-0.587832691,-0.950767426,0.693725388,3
-0.461716144,-0.920149262,0.691663065,3
-0.566813268,-0.934857442,0.691028503,3
-0.538787368,-0.929256012,0.687221139,3
-0.32158665,-0.516051725,0.685158816,3
-0.426683771,-0.857054767,0.672943516,3
-0.461716144,-0.916320484,0.66929479,3
-0.202476579,-0.891232776,0.566337265,3
-0.587832691,-0.954929156,0.563799021,3
-0.594839166,-0.94632165,0.542382587,3
-0.601845641,-0.956662822,0.53207097,3
-0.587832691,-0.94997344,0.526201283,3
-0.49674852,-0.913885855,0.519221109,3
-0.587832691,-0.947986011,0.492886829,3
-0.587832691,-0.952743794,0.450053958,3
-0.531780893,-0.927457261,0.311085097,3
-0.545793843,-0.930055568,0.307436371,3
-0.601845641,-0.956765578,0.305532689,3
-0.447703197,-0.904586609,0.281736652,3
-0.580826216,-0.945957371,0.247787637,3
-0.49674852,-0.929173585,0.245249393,3
-0.601845641,-0.951033903,0.02997457,3
-0.531780893,-0.93919315,0.00459213,3
-0.587832691,-0.953707395,0.003640286,3
-0.601845641,-0.956765578,-0.013016939,3
-0.594839166,-0.942591015,-0.210206772,3
-0.587832691,-0.951418842,-0.211475896,3
-0.552800318,-0.930688155,-0.216711025,3
-0.594839166,-0.945203839,-0.242410744,3
-0.601845641,-0.956824395,-0.57888672,3
-0.594839166,-0.919740449,-0.65852413,3
-0.601845641,-0.952929777,-0.875702635,1
-0.517767942,-0.857243811,-0.907113404,1
-0.552800318,-0.785438516,-1.03608793,1
-0.587832691,-0.95057569,-1.76948182,1
-0.545793843,-0.94326194,-1.779158876,1
-0.594839166,-0.956116398,-1.779317517,1
-0.601845641,-0.956486379,-1.810093727,1
-0.594839166,-0.952984693,-1.841028574,1
-0.601845641,-0.956398199,-2.07058102,1
-0.587832691,-0.948768939,-2.181153277,1
-0.594839166,-0.955213021,-2.233187279,1
-0.594839166,-0.953165369,-2.26570853,1
-0.594839166,-0.953948294,-2.446399779,1
-0.601845641,-0.954443537,-2.462422446,1
-0.594839166,-0.95449032,-2.47765191,1
-0.59204624,-0.946805328,0.70134012,3
-0.569180973,-0.948293431,0.701182595,3
-0.595312706,-0.953788338,0.700710025,3
-0.115142079,-0.486707734,0.700237452,3
-0.578980374,-0.951734825,0.698819736,3
-0.595312706,-0.955172174,0.698504688,3
-0.595312706,-0.955718513,0.695511731,3
-0.585513306,-0.935631436,0.694409062,3
-0.58224684,-0.945390143,0.692361251,3
-0.490785767,-0.904214906,0.586505118,3
-0.598579175,-0.955344985,0.567444711,3
-0.601845641,-0.956614287,0.555472888,3
-0.601845641,-0.953368818,0.553897647,3
-0.578980374,-0.901576684,0.552479931,3
-0.503851636,-0.91088518,0.548384308,3
-0.503851636,-0.930833897,0.54806926,3
-0.562648039,-0.926478712,0.545233828,3
-0.490785767,-0.933600091,0.53704258,3
-0.578980374,-0.94992701,0.531214191,3
-0.59204624,-0.952551071,0.529166379,3
-0.565914505,-0.940454153,0.522550369,3
-0.585513306,-0.953660912,0.51042102,3
-0.565914505,-0.944171416,0.510263498,3
-0.536516303,-0.922541155,0.508688257,3
-0.556115104,-0.938529848,0.508530735,3
-0.497318701,-0.913552652,0.503962536,3
-0.543049238,-0.932702718,0.489470328,3
-0.471186966,-0.896871898,0.48836766,3
-0.598579175,-0.956350897,0.485689753,3
-0.598579175,-0.954290983,0.480648984,3
-0.559381573,-0.942389676,0.479546316,3
-0.598579175,-0.956305486,0.461903626,3
-0.59204624,-0.955118198,0.461588578,3
-0.598579175,-0.95631474,0.445521129,3
-0.588779774,-0.921500834,0.361245783,3
-0.520183968,-0.931703072,0.323912594,3
-0.588779774,-0.951556336,0.310838102,3
-0.595312706,-0.953850868,0.279648347,3
-0.601845641,-0.955146878,0.113775565,3
-0.598579175,-0.95632812,0.111570229,3
-0.595312706,-0.9558061,0.097235546,3
-0.585513306,-0.949822094,0.093612494,3
-0.598579175,-0.953530701,0.091407157,3
-0.601845641,-0.956602024,0.063210359,3
-0.595312706,-0.953648492,0.060532449,3
-0.497318701,-0.925195089,0.044622526,3
-0.598579175,-0.956332167,0.038321566,3
-0.595312706,-0.953490399,0.03611623,3
-0.59204624,-0.95256268,0.011700007,3
-0.598579175,-0.952730283,0.004138857,3
-0.562648039,-0.937522326,-0.125030831,3
-0.601845641,-0.956712345,-0.147241717,3
-0.588779774,-0.952945055,-0.162364023,3
-0.578980374,-0.940637095,-0.196546733,3
-0.58224684,-0.95050245,-0.216079709,3
-0.595312706,-0.947327457,-0.378171916,3
-0.601845641,-0.955244978,-0.386678212,3
-0.598579175,-0.950165394,-0.391561455,3
-0.588779774,-0.955331644,-0.397547367,3
-0.588779774,-0.948487624,-0.405738615,3
-0.598579175,-0.953730806,-0.451893151,3
-0.588779774,-0.944872837,-0.551763373,3
-0.598579175,-0.955898222,-0.571138827,3
-0.598579175,-0.956358849,-0.579330075,3
-0.601845641,-0.955968463,-0.579645123,3
-0.595312706,-0.936656086,-0.590356756,3
-0.601845641,-0.956573412,-0.619656222,3
-0.601845641,-0.956454874,-0.648010542,3
-0.598579175,-0.95525937,-0.65226369,3
-0.598579175,-0.95419237,-0.823334766,1
-0.598579175,-0.955913269,-0.839244689,1
-0.59204624,-0.953504021,-0.862715766,1
-0.598579175,-0.94447263,-1.032841696,1
-0.598579175,-0.952663581,-1.06639431,1
-0.588779774,-0.952506616,-1.06907222,1
-0.598579175,-0.950022199,-1.070647458,1
-0.598579175,-0.95642555,-1.07348289,1
-0.598579175,-0.956518932,-1.083091858,1
-0.598579175,-0.956532272,-1.099789402,1
-0.598579175,-0.956598974,-1.105145218,1
-0.595312706,-0.955678491,-1.121842763,1
-0.601845641,-0.956062476,-1.12924639,1
-0.598579175,-0.955616367,-1.144211171,1
-0.601845641,-0.956830918,-1.278736675,1
-0.598579175,-0.955758534,-1.279051723,1
-0.595312706,-0.954863456,-1.325363781,1
-0.559381573,-0.943446171,-1.484463031,1
-0.598579175,-0.956438889,-1.49029142,1
-0.598579175,-0.955918619,-1.520693554,1
-0.59204624,-0.954571246,-1.552985975,1
-0.598579175,-0.956078701,-1.581340298,1
-0.598579175,-0.956029693,-1.581812868,1
